No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,,,,,,,,,,,,,,,,time 2,time 1,delay 1,delay 2,jiter
88,24.534366,192.168.100.10,172.217.194.119,TCP,54,50250  >  443 [ACK] Seq=1146 Ack=29430 Win=66304 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,24.537233,172.217.194.119,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,24.537238,172.217.194.119,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,24.537375,192.168.100.10,172.217.194.119,TCP,54,50250  >  443 [ACK] Seq=1146 Ack=32254 Win=66304 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,24.538207,172.217.194.119,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,24.538212,172.217.194.119,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,24.538301,192.168.100.10,172.217.194.119,TCP,54,50250  >  443 [ACK] Seq=1146 Ack=35078 Win=63488 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,24.540697,192.168.100.10,172.217.194.119,TCP,54,[TCP Window Update] 50250  >  443 [ACK] Seq=1146 Ack=35078 Win=66304 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,24.543727,172.217.194.119,192.168.100.10,TCP,56,[TCP Previous segment not captured] 443  >  50250 [ACK] Seq=36702 Ack=1146 Win=68096 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,24.552255,172.217.194.119,192.168.100.10,TCP,1466,[TCP Out-Of-Order] 443  >  50250 [ACK] Seq=35078 Ack=1115 Win=68096 Len=1412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,24.55226,172.217.194.119,192.168.100.10,TCP,266,"[TCP Retransmission] 443  >  50250 [PSH, ACK] Seq=36490 Ack=1115 Win=68096 Len=212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,24.55243,192.168.100.10,172.217.194.119,TCP,54,50250  >  443 [ACK] Seq=1146 Ack=36702 Win=66304 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,24.559212,192.168.100.10,172.217.194.119,TLSv1.3,93,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,24.584253,172.217.194.119,192.168.100.10,TCP,56,443  >  50250 [ACK] Seq=36702 Ack=1185 Win=68096 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,26.454143,192.168.100.10,74.125.68.190,TCP,54,"50249  >  443 [FIN, ACK] Seq=2548 Ack=1294 Win=65024 Len=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,26.454924,192.168.100.10,172.217.194.119,TCP,54,"50250  >  443 [FIN, ACK] Seq=1185 Ack=36702 Win=66304 Len=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,26.471302,74.125.68.190,192.168.100.10,TCP,54,"443  >  50249 [FIN, ACK] Seq=1294 Ack=2549 Win=72448 Len=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,26.471452,192.168.100.10,74.125.68.190,TCP,54,50249  >  443 [ACK] Seq=2549 Ack=1295 Win=65024 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,26.481416,172.217.194.119,192.168.100.10,TCP,54,"443  >  50250 [FIN, ACK] Seq=36702 Ack=1186 Win=68096 Len=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,26.481549,192.168.100.10,172.217.194.119,TCP,54,50250  >  443 [ACK] Seq=1186 Ack=36703 Win=66304 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,26.753427,192.168.100.10,74.125.68.190,TCP,66,50251  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,26.772667,74.125.68.190,192.168.100.10,TCP,66,"443  >  50251 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM=1 WS=256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,26.772841,192.168.100.10,74.125.68.190,TCP,54,50251  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,26.774223,192.168.100.10,74.125.68.190,TLSv1.3,635,Client Hello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
